,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
1,CC-1-2019,CC1-2019,CC-1-19,CC1,2019-06-01,Early,Canyon Creek,7/10/19,61.40097,-144.51765,1.884,44.6,45.7,4.3,4.5,12.3,16,NA,28.7,F,0.19,N/A,75,7.7077,77,7.4459,78,7.2065,4,4.3,4.2,1.608,1-A1,N,Y,5,Y,Y,0.062,6.7,7.5,6.6,5.7,5,3.4,2.1,1.4,,NA,9/25/19,234.3,10/2/19,71.9,0.6931,0.3069,NA,10/5/19,4,0.4171,923.5644,25.9311,7.957516389,4,0.2856,923.5644,26.0359,7.989676526,2,0.3265,924.0889,25.6858,7.882240802,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,446,123,287,0.015760485,0.015760485,1848.80055
2,CC-2-2019,CC2-2019,CC-2-19,CC2,2019-06-01,Early,Canyon Creek,7/12/19,61.40097,-144.51765,1.78,44.1,44.8,4.5,5.3,11.2,13,NA,27.6,F,0.21,N/A,33,4.5863,35,5.783,25,3.8223,4.7,4.9,5.1,1.494,1-A2,N,Y,5,Y,Y,0.096,2.1,2.6,2.7,3.5,1.3,2,1,1.2,,NA,9/25/19,214.3,10/2/19,65.2,0.6958,0.3042,NA,10/19/19,4,0.4313,923.5644,24.8424,7.558210359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,441,112,276,-0.705307522,-0.705307522,1511.021957
4,CC-4-2019,CC4-2019,CC-4-19,CC4,2019-06-01,Early,Canyon Creek,7/12/19,61.40097,-144.51765,2.03,47.6,48.6,4.6,4.9,12.4,14.4,NA,30.1,F,0.154,N/A,58,4.6444,73,5.4999,85,6.7225,3.5,3.7,3.6,1.802,1-A4,N,Y,6,Y,Y,0.082,11.5,12.2,10.3,10.5,5.4,6.3,2.3,2.4,,NA,9/25/19,239.1,10/2/19,82,0.657,0.343,NA,10/19/19,4,0.4117,923.5644,27.4094,9.400128816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,476,124,301,0.71914343,0.71914343,1923.176298
5,CC-5-2019,CC5-2019,CC-5-19,CC5,2019-06-01,Early,Canyon Creek,7/12/19,61.40097,-144.51765,1.902,45.6,46.6,4.8,5,12.6,13.8,NA,30.1,F,0.17,N/A,32,3.9158,50,5.7295,86,8.5641,4.5,4.9,4.7,NA,1-A5,N,Y,5,Y,Y,0.074,5.9,4.6,6.7,4,3.2,2.2,1.4,1.5,,NA,9/25/19,258.1,10/2/19,79.8,0.6908,0.3092,NA,10/19/19,2,0.3989,924.0889,25.1993,7.791182255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,456,126,301,0.49236969,0.49236969,1389.243577
6,CC-6-2019,CC-6-19,CC-6-19,CC-6-19,2019-06-01,Early,Canyon Creek,9/4/19,61.40097,-144.51765,2.65,48.2,50.1,4.2,4.3,12.5,12.2,7.5,31.6,F,0.15,N/A,28,2.1661,35,3.1075,23,2.042,4,4,4.5,2.392,2-E4,N,Y,5,Y,Y,0.086,6.7,6.5,5.9,6.2,3.6,4,1.8,1.8,,NA,9/25/19,269.3,10/2/19,85.1,0.684,0.316,NA,10/19/19,4,0.3437,923.5644,25.7287,8.130383847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,482,125,316,1.054548678,1.054548678,1938.968653
9,CC-9-2019,CC9-2019,CC-9-19,CC9,2019-06-01,Early,Canyon Creek,7/20/19,61.40097,-144.51765,2.058,45.1,46.5,3.2,4.2,12.2,15.5,NA,29.9,F,0.178,N/A,121,7.5642,150,8.0002,55,5.3414,4.7,4.3,4.9,1.786,1-A11,N,Y,6,Y,Y,0.094,6.1,6.8,5.9,5.4,2.7,3.3,1.1,1.4,,NA,10/2/19,80,10/7/19,26.1,0.6738,0.3263,NA,10/19/19,2,0.2783,924.0889,25.4881,8.315492625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,451,122,299,0.205631728,0.205631728,2847.359932
11,CC-11-2019,CC11-2019,CC-11-19,CC11,2019-06-07,Early,Canyon Creek,7/20/19,61.40097,-144.51765,2.246,47.6,47.8,5,5.5,12.3,14.6,NA,31.6,F,0.11,N/A,50,2.437,86,4.3318,107,4.4964,3,3.5,3.2,2.054,NA lost,N,Y,NA,Y,Y,0.046,12,8.5,12.1,9,6.4,5.8,2.8,2,,NA,10/2/19,167.5,10/7/19,57,0.6597,0.3403,NA,10/19/19,2,0.3781,924.0889,26.7957,9.118536716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,476,123,316,0.868609927,0.868609927,2256.873205
14,CC-14-2019,CC14-2019,CC-14-19,CC14,2019-06-02,Early,Canyon Creek,7/20/19,61.40097,-144.51765,1.542,42.2,42.7,4.1,4.4,11.1,12.5,NA,28.3,F,0.202,N/A,71,6.7367,39,4.2683,31,3.407,4.6,4.2,4.9,1.264,1-A8,N,Y,6,Y,,0.118,7.8,5,5.8,4,4.3,3.8,2.1,1.4,,NA,10/2/19,154.9,10/7/19,48.8,0.685,0.315,NA,10/19/19,4,0.3075,923.5644,25.9787,8.184380633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,422,111,283,-0.961340056,-0.961340056,2128.935532
15,CC-15-2019,CC15-2019,CC-15-19,CC15,2019-06-02,Early,Canyon Creek,7/20/19,61.40097,-144.51765,2.532,49.1,49.8,4.8,5.2,13.5,15.9,NA,33.1,F,0.2,N/A,81,5.1904,74,4.5571,46,3.8156,4.3,4.3,4.1,2.224,1-A12,N,Y,5,Y,Y,0.104,6.5,6.2,5.1,6.3,4.8,4.7,2.7,1.7,,NA,10/2/19,257.6,10/7/19,82.9,0.6782,0.3218,NA,10/19/19,2,0.3005,924.0889,26.0929,8.397132803,4,0.3661,923.5644,25.4357,8.185634821,2,0.4875,924.0889,26.8773,8.649565877,4,0.3845,923.4282,25.9734,8.358675699,NA,128939.07,NA,2019,491,135,331,1.845712931,1.845712931,3121.146732
16,CC-16-2019,CC16-2019,CC-16-19,CC16,2019-06-02,Early,Canyon Creek,7/20/19,61.40097,-144.51765,2.01,45.3,45.5,4.7,5.3,12.7,14.7,NA,31.3,F,0.178,N/A,40,2.4553,39,2.4729,48,2.7325,4,3.9,4,1.748,1-A10,N,Y,NA,Y,Y,0.076,10.3,14,6.1,9.2,5.6,6.1,1.8,2.6,,NA,10/2/19,175.2,10/7/19,60.5,0.6547,0.3453,NA,10/19/19,2,0.3666,924.0889,26.7736,9.245449772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,453,127,313,0.645949882,0.645949882,2899.849306
